DEPTO,NOMDEPTO,CODLOC,NOMLOC,NOMBRE,DIRECCION,x,y
"03",CANELONES,"03621",ATLANTIDA,TIENDA INGLESA,,612800.361262231,6152015.27125434
"11",PAYSANDU,"11120",PAYSANDU,SAN ROQUE 08 SHOPPING,Bvard. Artigas 770 Shopping loc. 001,399239.561025675,6423422.29007609
"13",RIVERA,"13220",RIVERA,SAN ROQUE 40,Sarandí 665,639424.036492647,6580364.27176396
"03",CANELONES,"03953",LOMAS DE SOLYMAR,SAN GIOVANNI,Tuyutí M.522 S.18,598094.233711218,6146869.8305781
"03",CANELONES,"03422",SAN RAMON,SAN RAMON,Av. José B. y Ordoñez 1215,596009.939152258,6205691.09376548
"03",CANELONES,"03722",BARRA DE CARRASCO,SAN ROQUE 18 - GEANT,Av. La Playa y Giannattasio,589211.170534148,6141426.96939296
"03",CANELONES,"03731",AEROPUERTO INTERNACIONAL DE CARRASCO,SAN ROQUE 24 - AEROPUERTO DE CARRASCO,Aeropuerto de Carrasco - Ruta 101 km 19.950,589955.070500297,6144615.760153
"03",CANELONES,"03527",SAUCE,SAUCE,Carmelo Renée González 2132,585651.623598285,6165316.45415065
"03",CANELONES,"03621",ATLANTIDA,SU FARMACIA,Calle 11 y 26 Padrón 126 M.180,613014.611873796,6151549.30632085
"03",CANELONES,"03621",ATLANTIDA,FARMASHOP 94,Calle 11 Esq. Ciudad de Montevideo,613332.962482656,6151338.04972509
"03",CANELONES,"03622",ESTACION ATLANTIDA,ESTACION ATLANTIDA,Calle El Ibirapitá s/n entre Ruta 11 y El Canelón,613166.844603058,6154808.66517337
"03",CANELONES,"03625",EMPALME OLMOS,SUDRIERS,Luis A. de Herrera s/n,600939.414895255,6160295.19892135
"03",CANELONES,"03727",PARQUE CARRASCO,TORRE 18,Giannattasio Km. 18,590394.354506152,6142414.61465893
"03",CANELONES,"03831",LAGOMAR,YALALE VI,Giannattasio Km 21.000 M.121 S.18,592471.588289447,6144354.01192427
"03",CANELONES,"03529",VILLA CRESPO Y SAN ANDRES,GALET,Ruta 6 Km 23.100,582952.746718654,6155823.09025142
"03",CANELONES,"03900",RURAL,TUNDISI COUNTRY,Camino de los Horneros Km. 3,593616.716782361,6149591.07653564
"03",CANELONES,"03946",JAUREGUIBERRY,JAUREGUIBERRY,Calle 10 (Av. Artigas) esq. Calle 3 (Apereá),646510.826414388,6149585.74735359
"03",CANELONES,"03221",LAS PIEDRAS,SAN ROQUE,Bvard. Bicentenario 318,572943.865891283,6157120.90858114
"09",LAVALLEJA,"09220",MINAS,SAN ROQUE 56,"Luis Alberto de Herrera 950, Minas - Lavalleja.",662038.653813518,6195551.70537503
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALLE MAYO,Andes 1397 esq. Colonia,573238.925015295,6137141.77996749
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALLE PALERMO,Dr. Carlos M. Morales 946 esq. Av. Gonzalo Ramírez,574607.424708324,6136332.30084809
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALLE PONCE,Av. Gral. Rivera 2475 esq. Av. Luis P. Ponce,576578.254948685,6137433.49198368
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALLE TRES CRUCES,E. Victor Haedo 2356 esq. Dr. Mario Cassinoni,576219.736494227,6138225.26794602
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 12 - TRES CRUCES SHOPPING,"Bvar. Artigas 1825, local 48",576213.946182909,6138424.7726032
"10",MALDONADO,"10524",PUNTA DEL ESTE,PIGALLE PUNTA DEL ESTE,Av. Juan Gorlero y Calle 19,687503.923465839,6128951.10911982
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 01 - CORDON,18 de julio 1551,574693.242300449,6137275.12519613
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE CENTRO,18 de Julio 1078 esq. Paraguay,573732.332033945,6137069.10049097
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 04 - YI,18 de Julio 1252 esq. Yi,574092.02110226,6137097.49153048
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 56,Fco. Joaquin Muñoz 2951,577652.339659529,6136964.22660772
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 8,Manuel Vicente Pagola 3205,577997.26024527,6136832.36915915
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 40,Gabriel Pereira 3209,577906.188073181,6136620.34152926
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 12,Juan Benito Blanco 1098,577925.426100426,6136385.3426149
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 57,Av. Gral Rivera 3500,578692.175548314,6137552.46384451
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 25,Av. Gral Rivera 4241,580215.461459583,6138149.25271816
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 20,Av. Italia 2490,576604.716696443,6138415.84399541
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 47,Av. Italia 3428,578639.896603365,6139056.90087388
"19",TREINTA Y TRES,"19220",TREINTA Y TRES,FAMASHOP 66,Manuel Melendez 1135,743753.204773754,6320162.38504052
"02",ARTIGAS,"02220",ARTIGAS,MAYRA,Garzón y Treinta y Tres,550982.976238003,6636432.31872116
"02",ARTIGAS,"02220",ARTIGAS,POLLINI,Pte. Berreta 400 e/ Lavalleja,551318.850977541,6636525.38234327
"02",ARTIGAS,"02220",ARTIGAS,POPULAR,Garzón 300 e/ Rivera,551302.979193707,6636817.7904651
"02",ARTIGAS,"02621",BALTASAR BRUM,SAN PIO,José Batlle y Ordoñez esq. 25 de Agosto,468569.071929827,6601230.93822836
"04",CERRO LARGO,"04522",RIO BRANCO,FLEMING I,Virrey Arredondo 980,839698.246764181,6388266.4945344
"04",CERRO LARGO,"04220",MELO,SAN ROQUE 49,Justino Muniz 768,766334.049457222,6415212.7230486
"04",CERRO LARGO,"04220",MELO,SAN ROQUE - PRACTIFARMA 48,Villanueva Saravia 777,766644.962212003,6415698.90219995
"04",CERRO LARGO,"04621",TUPAMBAE,SANTA VERONA,Cerro Largo s/n esquina Avenida Brasil,709450.07418056,6364679.44045279
"04",CERRO LARGO,"04821",ACEGUA,SANTA HIGINIA,Av.José G. Artigas 730,768115.439610604,6470635.8831125
"05",COLONIA,"05422",ROSARIO,ANTARES,Sarandí y Rivera,467538.548210403,6203017.80305621
"05",COLONIA,"05423",NUEVA PALMIRA,ARRIETA,Gral. Artigas 928,369533.981242102,6251199.28028911
"05",COLONIA,"05521",OMBUES DE LAVALLE,ARTIGAS - OMBUES DE LAVALLE,Zorrilla de San Martín 1059,425244.635447881,6244449.88206386
"05",COLONIA,"05320",COLONIA DEL SACRAMENTO,LA ROTONDA,Julio César González Moreno 203,422725.340058933,6187132.04022462
"05",COLONIA,"05422",ROSARIO,BORRAS,Ituzaingó 399 y 25 de Mayo,467657.02284501,6203082.71529522
"05",COLONIA,"05522",TARARIRAS,CAROLI,Carmelo 2202,443527.031260666,6208423.14788684
"05",COLONIA,"05323",JUAN LACAZE,CORMAR,Calle 20 esq. 5,458496.556282615,6191409.23285958
"05",COLONIA,"05320",COLONIA DEL SACRAMENTO,DA COSTA,Gral. Flores 321,422125.261701013,6185359.26203027
"05",COLONIA,"05423",NUEVA PALMIRA,DEL BRAVO,Av del Bravo 1175,370119.393805798,6250726.3014041
"05",COLONIA,"05320",COLONIA DEL SACRAMENTO,FELIX,Cnel. Lorenzo Latorre 1288,422579.395372683,6187646.27246429
"05",COLONIA,"05321",CARMELO,FEMME,19 de Abril 282,381422.564083602,6237151.88813361
"05",COLONIA,"05622",FLORENCIO SANCHEZ,FLORENCIO SANCHEZ,Colonia y 25 de Agosto,465535.035242878,6251651.50975016
"05",COLONIA,"05421",NUEVA HELVECIA,HELVETICA,Luis A. de Herrera 1101 e/ Artigas,478493.130353242,6205764.21359341
"05",COLONIA,"05522",TARARIRAS,LLUBERAS,Gral. Artigas 1896,443679.306504491,6208250.02484131
"05",COLONIA,"05421",NUEVA HELVECIA,MALLARINI,25 de Agosto 1111 e/ Luis Dreyer,478638.333697799,6206079.06494658
"05",COLONIA,"05831",MIGUELETE,MIGUELETE,25 de Agosto 1111 e/ Luis Dreyer,440210.085358177,6236846.68472668
"05",COLONIA,"05621",COLONIA VALDENSE,NUEVA TROCHE,Av. Dr. Armand Ugón 1358,475613.193628489,6199953.84488682
"05",COLONIA,"05521",OMBUES DE LAVALLE,OMBUES,Zorrilla de San Martín 838,424920.372585102,6244110.47812392
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 68,Av. Italia 2863,577429.671172551,6138786.69132463
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 70,Uruguayana 3501,572257.985244578,6141103.85082574
"05",COLONIA,"05423",NUEVA PALMIRA,PALMIRENSE,Gral. Artigas 970,369589.045208376,6251139.36003492
"05",COLONIA,"05323",JUAN LACAZE,PUERTO SAUCE,Av. Artigas 487,459409.693260809,6189827.89573736
"05",COLONIA,"05323",JUAN LACAZE,RUBENS,José Salvo 310,459597.16161063,6189539.08575626
"05",COLONIA,"05320",COLONIA DEL SACRAMENTO,SAN ROQUE 29 - COLONIA SHOPPING,Shopping Colonia Del Sacramento,423322.257079047,6185779.95838592
"05",COLONIA,"05320",COLONIA DEL SACRAMENTO,SAN ROQUE 37,Av. Artigas 389,422578.020891519,6185753.50699838
"05",COLONIA,"05621",COLONIA VALDENSE,VALDENSE,Av. Armand Ugón 1013,476126.237476779,6200456.62633056
"05",COLONIA,"05421",NUEVA HELVECIA,SAN ROQUE 44,Berna 1295,478506.375700278,6206305.95265311
"05",COLONIA,"05522",TARARIRAS,NUEVA,Lavalleja 2000,443609.32242822,6207860.13893431
"05",COLONIA,"05961",PLAYA PARANT,PARANT,Los Aromos esquina Rincon del Rey,476483.8563121,6189639.45448176
"06",DURAZNO,"06220",DURAZNO,LOMBARDI,Gral. Artigas 352 e/ Lavalleja ,544036.58830983,6306914.23502981
"06",DURAZNO,"06220",DURAZNO,SAN PEDRO,Herrera 874,544215.979010432,6306764.15039946
"06",DURAZNO,"06220",DURAZNO,SAN ROQUE  38,Manuel Oribe 817,544412.233272504,6306536.47061671
"06",DURAZNO,"06421",SARANDI DEL YI,DEL SARANDI,Presidente Berro 550,627526.354463706,6309608.92600973
"06",DURAZNO,"06421",SARANDI DEL YI,ROPIEL,Oribe 797,627677.869365489,6310296.4629532
"06",DURAZNO,"06421",SARANDI DEL YI,YATAY,Sarandí 414,627292.92196543,6309679.43958228
"07",FLORES,"07320",TRINIDAD,2212 NORTE,Inés Durán 657 e/ Carlos Mª Ramírez,509337.896202252,6291814.95149983
"07",FLORES,"07320",TRINIDAD,DEL REPUBLICA,Luis A. de Herrera y T.y Tres,509426.365933834,6291092.6140598
"07",FLORES,"07320",TRINIDAD,DERMIT,Francisco Fondar 479,509546.360757417,6291635.01713099
"07",FLORES,"07320",TRINIDAD,SAN ROQUE 36,Francisco Fondar 649,509530.198584435,6291311.49498761
"07",FLORES,"07320",TRINIDAD,OSTRA CENTRO,Francisco Fondar 691,509527.719884132,6291223.00021513
"07",FLORES,"07320",TRINIDAD,MODERNEL,18 de Julio y Fco.Fondar,509516.724633985,6290985.11526272
"07",FLORES,"07320",TRINIDAD,OSTA BATLLE,Batlle y Ordoñez 865,509710.890610755,6290873.82413592
"07",FLORES,"07721",ISMAEL CORTINAS,VIDAL,Gral. Artigas 368,491674.867770302,6242344.98771656
"11",PAYSANDU,"11120",PAYSANDU,ILEANA II,19 de Abril 1302 e/ P. Larrañaga,398117.398293506,6424634.92916422
"11",PAYSANDU,"11521",GUICHON,LLUBERAS GUICHON,18 de Julio 325,481039.76978079,6419845.65943505
"11",PAYSANDU,"11120",PAYSANDU,MEDICCI II,Av. España 1549,398931.888928115,6423797.05964203
"11",PAYSANDU,"11521",GUICHON,NANITOS,25 de Agosto 381,481135.470397002,6419750.92904748
"11",PAYSANDU,"11120",PAYSANDU,OLALDE II,Montecaseros e/ Colón,398250.048147466,6423318.44368135
"11",PAYSANDU,"11120",PAYSANDU,SAN ROQUE 35,19 de Abril e/ L.Gómez y 18 de Julio,397960.231519035,6423813.32385697
"11",PAYSANDU,"11120",PAYSANDU,SUIZA,Leandro Gómez 989,397720.470407428,6423834.00584568
"12",RIO NEGRO,"12320",FRAY BENTOS,BARRIO FB 2000,Rep. de Chile y calle Pública,378606.114685843,6335024.44607585
"12",RIO NEGRO,"12320",FRAY BENTOS,LA MUTUALISTA,Rincón 1102,377343.732510461,6335071.19932305
"12",RIO NEGRO,"12320",FRAY BENTOS,LAS CAÑAS,18 de Julio 1643,378220.618552297,6334444.24966354
"12",RIO NEGRO,"12320",FRAY BENTOS,SAN ROQUE 34,18 de Julio 1707,378339.609831284,6334337.48699417
"12",RIO NEGRO,"12320",FRAY BENTOS,FRAY BENTOS,,378636.507632266,6334057.66271595
"12",RIO NEGRO,"12320",FRAY BENTOS,ALZAIBAR,,377928.265182729,6334682.70891059
"12",RIO NEGRO,"12320",FRAY BENTOS,RIO URUGUAY,18 de Julio 1308,377723.203655642,6334867.16658908
"12",RIO NEGRO,"12421",YOUNG,CREVOISIER,Av. 18 de Julio 1830,441045.946334143,6381656.18494951
"12",RIO NEGRO,"12421",YOUNG,GARCEN,18 de Julio y Oribe ,440197.381381528,6381040.86257599
"12",RIO NEGRO,"12421",YOUNG,SAN SEBASTIAN,Montevideo 3547,440403.584703188,6381852.35162507
"12",RIO NEGRO,"12421",YOUNG,LONG,18 de Julio 1886,441141.879820614,6381720.40469871
"12",RIO NEGRO,"12622",SAN JAVIER,SAN JAVIER (EX SABELIN),Basilio Lubker s/n,393533.88686981,6385206.28020536
"13",RIVERA,"13621",VICHADERO,AVENDA II,Bvar. Artigas 186 bis,718803.218239296,6481999.16105537
"13",RIVERA,"13621",VICHADERO,VICHADERO,25 de Agosto s/n,718470.514925031,6481595.84681688
"13",RIVERA,"13522",TRANQUERAS,BERSANA - TRANQUERAS,18 de Julio 550,617426.017883919,6548730.6506858
"13",RIVERA,"13522",TRANQUERAS,TRANQUERAS,18 de Julio 597,617480.151116357,6548693.32685031
"13",RIVERA,"13521",MINAS DE CORRALES,DR.DAVISON,Dr. Davison,645110.004640007,6506063.49107324
"13",RIVERA,"13521",MINAS DE CORRALES,SERRALEX,Dr. Davison,644960.698222631,6506220.03104501
"13",RIVERA,"13522",TRANQUERAS,LUCHILD,18 de Julio 712,617740.138719729,6548455.56052609
"13",RIVERA,"13220",RIVERA,NARBONDO,Av. Brasil 895,638975.735799453,6580467.48926537
"13",RIVERA,"13220",RIVERA,RAFAEL,Artigas 452 e/ Ansina,638371.367347446,6581184.16080307
"13",RIVERA,"13220",RIVERA,TALITA,Presidente Viera 1299,639352.58324476,6579627.03288593
"03",CANELONES,"03521",BARROS BLANCOS,VERO,Ruta 8 Km 28.000,593080.45302149,6155196.32332594
"03",CANELONES,"03521",BARROS BLANCOS,LOS AROMOS,,589178.980971919,6152021.85501491
"03",CANELONES,"03321",LA PAZ,BERSANA II - LA PAZ,Av. Artigas 265,571016.392007768,6153026.24452661
"03",CANELONES,"03627",PARQUE DEL PLATA,BOLOGNA,Av. República Argentina s/n,618121.662939744,6153716.5216243
"03",CANELONES,"03624",CERRILLOS,CERRILLOS,Gral. Máximo Tajes s/n ,558607.907445666,6170245.77950826
"03",CANELONES,"03935",CUCHILLA ALTA,CUCHILLA ALTA,Av. Agustin Ponds s/n y Rambla,637633.119640127,6148642.21297778
"03",CANELONES,"03629",SAN JACINTO,DE DEL,Luis A. de Herrera s/n,603499.800223619,6176997.81807399
"03",CANELONES,"03629",SAN JACINTO,MARIA VERA,,603509.059819363,6176832.74327444
"03",CANELONES,"03221",LAS PIEDRAS,DEL CAMINO,Av. Artigas y Municipio,570757.845004627,6156906.08060885
"03",CANELONES,"03221",LAS PIEDRAS,DEL MOLINO,Dr. Pouey y Ramón Ortiz,571044.339142915,6155784.49063437
"03",CANELONES,"03221",LAS PIEDRAS,ELISAR CENTRO,Av. Artigas 629,571668.629558378,6156939.12766983
"03",CANELONES,"03221",LAS PIEDRAS,ELISAR,República Argentina 592,572241.598282484,6157019.5865758
"03",CANELONES,"03626",MIGUES,ESTE,Gregorio Migues y J.P.Varela,625796.401993947,6182890.86366332
"03",CANELONES,"03421",PROGRESO,FARMAIS,Ruta 5 Km. 28.500,571513.411340083,6163750.85504371
"03",CANELONES,"03321",LA PAZ,GUADALUPE,J. B. y Ordoñez 339 e/ C. Mayo G.,570701.292563374,6152972.68402955
"03",CANELONES,"03323",SANTA LUCIA,JUAN ANGEL,Roosevelt 59,556234.659664183,6187257.10039998
"03",CANELONES,"03724",LA FLORESTA,LA FLORESTA,Treinta y Tres y Argentina,621069.405444479,6152743.62871355
"03",CANELONES,"03729",SALINAS,MARIMAR,Interbalnearia Km. 39.200,606919.426184589,6151416.24491088
"03",CANELONES,"03323",SANTA LUCIA,MARSO,Dr. Legniani 452,556061.557325075,6187360.86372689
"03",CANELONES,"03626",MIGUES,MARTIN,Feliciano Viera s/n,625872.438559505,6182776.27090452
"03",CANELONES,"03320",CANELONES,NUEVA - CANELONES,Treinta y Tres 549 esq Rodó,565959.709068441,6179422.28673324
"03",CANELONES,"03321",LA PAZ,FARMASHOP 98,Jose Batlle y Ordoñez 181,570959.763871699,6152974.39038269
"03",CANELONES,"03321",LA PAZ,PACCINI CENTRO,Pedro Rosa Guiffini e/ J.B.y Ordoñez,570866.489589734,6152973.91370613
"03",CANELONES,"03320",CANELONES,PIRUJAS,Batlle y Ordoñez 769,565897.970167658,6179875.37595977
"03",CANELONES,"03528",TALA,POPULAR - TALA,18 de Julio e I. De León,613909.555088021,6198898.89295832
"03",CANELONES,"03628",SAN BAUTISTA,SAN BAUTISTA,Treinta y Tres Orientales s/n,595370.841273673,6188511.95056568
"03",CANELONES,"03729",SALINAS,"626",Ruta 87 esq. Abaroré,606039.414019664,6151810.30184464
"03",CANELONES,"03221",LAS PIEDRAS,BATLLE Y ORDOÑEZ,Batlle y Ordóñez 509,572097.551072106,6157051.25930153
"03",CANELONES,"03826",COSTA AZUL,FARMACOSTA,25 de Agosto esq. Gran Bretaña,623101.318416584,6151880.40561559
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALLE 1,Félix Buxareo 1158 esq. Echevarriarza,578263.387102182,6136812.96206268
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALLE 2,Av. Brasil 2570 esq. Gral. Brito del Pino,576881.526485327,6136868.47744137
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALLE 3,Juan Benito Blanco 994 esq. José Martí,577765.65227957,6136202.17305917
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALLE 4,21 de setiembre 2948 esq. Tomás Diago,577322.58282803,6135541.15048417
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALLE 8 DE OCTUBRE,Av. 8 de Octubre 2547 esq. Presidente Berro,576518.942739477,6138622.0408676
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALLE ALVAREZ,Av. Garibaldi 2567 esq. Monte Caseros,576448.379929577,6139237.02605291
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALLE CANADA,Av. Bolivia 1429 esq. San Nicolás,585281.974153456,6138416.04186811
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALE CIELMAR,Rincón 700 esq. Juncal,572964.349587122,6137145.87848032
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALLE CORDON,Av. 18 de julio 2051 esq. Martín C. Martínez,575748.104730258,6137755.25758888
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALLE LYON,Av. 18 de julio 2102 esq. Joaquín Requena,575865.183002765,6137780.15175216
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALE DOMAR,Manuel V. Pagola 3295 esq. Chucarro,578104.66676147,6136702.29238242
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALLE HERMES,Bvar. España 2502 esq. Obligado,576714.666611008,6136377.66192303
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALLE MARAZUL,Av. 18 de julio 2151 esq. Juan Paullier,575948.923192249,6137851.97215407
"01",MONTEVIDEO,"01020",MONTEVIDEO,PIGALLE MASSONE,Gabriel Pereira 3148 esq. 26 de Marzo,577800.299179063,6136710.28171031
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 05 - MAM,Jose .L. Terra  2200   local   37 y 38,574631.801398912,6139192.48072434
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 06 - MONTEVIDEO SHOPPING,Luis A. de Herrera 1290 - Loc.152,578847.393909513,6137369.99498943
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 09 - CONVENCION,18 de Julio 900 esq. Convención,573350.523470392,6137041.98065641
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 11 - PORTONES SHOPPING,Av. Italia 5775 - Loc. 201/206,583901.21424677,6139734.90626342
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 13 - PASO MOLINO,Agraciada 4214,571307.744360931,6142622.51015195
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 14 - PUNTA CARRETAS SHOPPING,Ellauri 350 - Loc. 109 y 145,576817.899154345,6135084.95663984
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 16 - MALVIN,Mississipi 1647 esq. Rivera,582572.169868004,6138637.03670421
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 17 - CERRO,Avenida Carlos María Ramírez 1490,568829.814896592,6140803.35571853
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 21 - UNIVERSIDAD,Avenida 18 de Julio 1799 esq. Tristán Narvaja,575143.942165137,6137484.25816899
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 22 - ELLAURI,José Ellauri 512 esq. Montero,576973.245939267,6135371.76807353
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 28 - BENITO BLANCO,Gabriel Pereira 3298 esq. Benito Blanco,577990.868329413,6136469.56263094
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 30 - CIUDAD VIEJA,Sarandí 699,572986.714633348,6137045.20522309
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 31 - UNION,8 de Octubre 3640,578316.725800553,6140300.45348413
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 42 - AROCENA,Arocena 1681 esq. Rivera,586020.405239604,6139129.48283479
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 51 - CONSTITUYENTE,Constituyente 1789 esq. Gaboto,575110.118883676,6137019.6291708
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 52 - SALTERAIN,Rivera 2102 y Salterain,575822.498893475,6137470.75735355
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 58 - PAULLIER,Canelones 2198 esq. Paullier,576038.027032333,6136943.13173345
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 61 - PARQUE RODO,Av. Julio Herrera y Reissig 736,576214.668973187,6136034.98489053
"01",MONTEVIDEO,"01020",MONTEVIDEO,SAN ROQUE 63 - COMERCIO,Av Italia 3830 esq. Solano López,579593.814570356,6139134.34043022
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 64,SARANDI 502,572649.817798565,6136919.31181715
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 130,18 de Julio 850,573247.377880473,6137031.41690953
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 21,Colonia 903,573366.811501989,6137173.01106243
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 43,Av. 18 de Julio 1331,574240.369919463,6137135.21616336
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 33,Av. 18 de Julio 1487,574562.237561079,6137214.35572527
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 108,Colonia 1800,575108.01887416,6137557.63675852
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 55,Av. 18 de Julio 1951,575491.688557828,6137638.57094652
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 62,Bvar. Artigas 1481,576332.958765172,6137573.62169831
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 52,20 de Setiembre 1525,576463.613566305,6137614.57680854
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 42,Av. Ing Luis P. Ponce 1503,576773.641245672,6137707.96890978
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 3,Av. Gral. Rivera 2755,577182.111764929,6137359.05323997
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 50,Bvar. España 2167,575906.024577611,6136766.08344876
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 99,Juan D. Jackson 1200,575545.636796157,6136900.11062778
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 111,Jose Ellauri 411,576803.320660947,6135214.95144012
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 15,21 de Setiembre 2867,577158.98719627,6135614.39039556
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 22,Luis Franszini 806,576866.307131578,6135928.06472899
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 38,Av. Sarmiento 2445,576701.995739558,6136130.8244673
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 24,21 de Setiembre 2453,576549.118203395,6136238.99677226
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 26,Bvar. España 2856,577520.514717481,6136083.12346465
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 13,Dr. Jose Scosería 2614,577119.421472442,6136023.19630341
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 18,Av. Brasil 2851,577418.167049129,6136474.18510855
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 39,Av. Brasil 2703,577166.24230769,6136792.74524208
"10",MALDONADO,"01020",MONTEVIDEO,FARMASHOP 60,Av. Brasil 2500,576736.241014982,6136927.89639665
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 11,Av. Luis A. De Herrera 2368,577676.565646994,6139374.86623114
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 129,Av. Del Libertador 1953,573902.814866381,6137888.7628959
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 28,Av. 8 de Octubre 3268,577673.350111877,6139851.74145846
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 37,Av. 8 de Octubre 3439,577932.107107187,6140074.74792944
"10",MALDONADO,"01020",MONTEVIDEO,FARMASHOP 123,Ruta 39 y Av. Luis Alberto de Herrera - Centro Comercial Paseo del Este Local 17,577076.125346315,6140203.73492901
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 29,Av. 8 de Octubre 3749,578520.344004406,6140474.84763204
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 34,Av. 8 de Octubre 4002,578994.419015416,6140786.14012039
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 32,Cno. Carrasco 4471,580236.944445776,6140761.62999921
"01",MONTEVIDEO,"01020",MONTEVIDEO,FARMASHOP 115,Veracierto 2563,580656.068885482,6140887.85025933
"01",MONTEVIDEO,"01020",MONTEVIDEO,EDANEL,,580576.193519127,6140843.83837158
